,latitude,longitude,d2m_C,month
0,29.0,76.7,8.59,2020-01
1,29.0,76.8,8.69,2020-01
2,29.0,76.8,8.77,2020-01
3,29.0,76.9,8.86,2020-01
4,29.0,77.0,8.96,2020-01
5,29.0,77.1,9.02,2020-01
6,29.0,77.2,9.01,2020-01
7,29.0,77.3,9.04,2020-01
8,29.0,77.5,9.07,2020-01
9,28.9,76.7,8.53,2020-01
10,28.9,76.8,8.65,2020-01
11,28.9,76.8,8.73,2020-01
12,28.9,76.9,8.81,2020-01
13,28.9,77.0,8.93,2020-01
14,28.9,77.1,9.0,2020-01
15,28.9,77.2,9.03,2020-01
16,28.9,77.3,9.04,2020-01
17,28.9,77.5,9.07,2020-01
18,28.8,76.7,8.45,2020-01
19,28.8,76.8,8.58,2020-01
20,28.8,76.8,8.68,2020-01
21,28.8,76.9,8.78,2020-01
22,28.8,77.0,8.89,2020-01
23,28.8,77.1,8.96,2020-01
24,28.8,77.2,8.99,2020-01
25,28.8,77.3,9.02,2020-01
26,28.8,77.5,9.06,2020-01
27,28.7,76.7,8.42,2020-01
28,28.7,76.8,8.54,2020-01
29,28.7,76.8,8.67,2020-01
30,28.7,76.9,8.79,2020-01
31,28.7,77.0,8.94,2020-01
32,28.7,77.1,9.03,2020-01
33,28.7,77.2,8.97,2020-01
34,28.7,77.3,9.03,2020-01
35,28.7,77.5,9.09,2020-01
36,28.5,76.7,8.43,2020-01
37,28.5,76.8,8.56,2020-01
38,28.5,76.8,8.71,2020-01
39,28.5,76.9,8.79,2020-01
40,28.5,77.0,8.84,2020-01
41,28.5,77.1,8.87,2020-01
42,28.5,77.2,8.94,2020-01
43,28.5,77.3,9.05,2020-01
44,28.5,77.5,9.12,2020-01
45,28.4,76.7,8.42,2020-01
46,28.4,76.8,8.58,2020-01
47,28.4,76.8,8.71,2020-01
48,28.4,76.9,8.74,2020-01
49,28.4,77.0,8.7,2020-01
50,28.4,77.1,8.75,2020-01
51,28.4,77.2,8.92,2020-01
52,28.4,77.3,9.09,2020-01
53,28.4,77.5,9.16,2020-01
54,28.3,76.7,8.41,2020-01
55,28.3,76.8,8.54,2020-01
56,28.3,76.8,8.62,2020-01
57,28.3,76.9,8.65,2020-01
58,28.3,77.0,8.69,2020-01
59,28.3,77.1,8.8,2020-01
60,28.3,77.2,8.97,2020-01
61,28.3,77.3,9.14,2020-01
62,28.3,77.5,9.22,2020-01
63,28.3,76.7,8.41,2020-01
64,28.3,76.8,8.46,2020-01
65,28.3,76.8,8.49,2020-01
66,28.3,76.9,8.61,2020-01
67,28.3,77.0,8.78,2020-01
68,28.3,77.1,8.92,2020-01
69,28.3,77.2,9.05,2020-01
70,28.3,77.3,9.16,2020-01
71,28.3,77.5,9.24,2020-01
72,29.0,76.7,9.81,2020-02
73,29.0,76.8,9.92,2020-02
74,29.0,76.8,10.0,2020-02
75,29.0,76.9,10.1,2020-02
76,29.0,77.0,10.2,2020-02
77,29.0,77.1,10.29,2020-02
78,29.0,77.2,10.28,2020-02
79,29.0,77.3,10.29,2020-02
80,29.0,77.5,10.3,2020-02
81,28.9,76.7,9.62,2020-02
82,28.9,76.8,9.8,2020-02
83,28.9,76.8,9.89,2020-02
84,28.9,76.9,9.99,2020-02
85,28.9,77.0,10.14,2020-02
86,28.9,77.1,10.24,2020-02
87,28.9,77.2,10.28,2020-02
88,28.9,77.3,10.3,2020-02
89,28.9,77.5,10.31,2020-02
90,28.8,76.7,9.39,2020-02
91,28.8,76.8,9.6,2020-02
92,28.8,76.8,9.76,2020-02
93,28.8,76.9,9.91,2020-02
94,28.8,77.0,10.05,2020-02
95,28.8,77.1,10.15,2020-02
96,28.8,77.2,10.2,2020-02
97,28.8,77.3,10.24,2020-02
98,28.8,77.5,10.29,2020-02
99,28.7,76.7,9.22,2020-02
100,28.7,76.8,9.41,2020-02
101,28.7,76.8,9.61,2020-02
102,28.7,76.9,9.79,2020-02
103,28.7,77.0,9.97,2020-02
104,28.7,77.1,10.09,2020-02
105,28.7,77.2,10.08,2020-02
106,28.7,77.3,10.16,2020-02
107,28.7,77.5,10.25,2020-02
108,28.5,76.7,9.07,2020-02
109,28.5,76.8,9.28,2020-02
110,28.5,76.8,9.49,2020-02
111,28.5,76.9,9.64,2020-02
112,28.5,77.0,9.74,2020-02
113,28.5,77.1,9.82,2020-02
114,28.5,77.2,9.95,2020-02
115,28.5,77.3,10.1,2020-02
116,28.5,77.5,10.21,2020-02
117,28.4,76.7,8.91,2020-02
118,28.4,76.8,9.14,2020-02
119,28.4,76.8,9.34,2020-02
120,28.4,76.9,9.44,2020-02
121,28.4,77.0,9.46,2020-02
122,28.4,77.1,9.58,2020-02
123,28.4,77.2,9.83,2020-02
124,28.4,77.3,10.05,2020-02
125,28.4,77.5,10.17,2020-02
126,28.3,76.7,8.76,2020-02
127,28.3,76.8,8.97,2020-02
128,28.3,76.8,9.12,2020-02
129,28.3,76.9,9.22,2020-02
130,28.3,77.0,9.35,2020-02
131,28.3,77.1,9.55,2020-02
132,28.3,77.2,9.79,2020-02
133,28.3,77.3,10.01,2020-02
134,28.3,77.5,10.14,2020-02
135,28.3,76.7,8.62,2020-02
136,28.3,76.8,8.76,2020-02
137,28.3,76.8,8.88,2020-02
138,28.3,76.9,9.08,2020-02
139,28.3,77.0,9.35,2020-02
140,28.3,77.1,9.58,2020-02
141,28.3,77.2,9.77,2020-02
142,28.3,77.3,9.93,2020-02
143,28.3,77.5,10.05,2020-02
144,29.0,76.7,13.86,2020-03
145,29.0,76.8,13.95,2020-03
146,29.0,76.8,14.0,2020-03
147,29.0,76.9,14.03,2020-03
148,29.0,77.0,14.08,2020-03
149,29.0,77.1,14.09,2020-03
150,29.0,77.2,14.02,2020-03
151,29.0,77.3,13.98,2020-03
152,29.0,77.5,13.93,2020-03
153,28.9,76.7,13.77,2020-03
154,28.9,76.8,13.91,2020-03
155,28.9,76.8,13.95,2020-03
156,28.9,76.9,14.0,2020-03
157,28.9,77.0,14.11,2020-03
158,28.9,77.1,14.17,2020-03
159,28.9,77.2,14.13,2020-03
160,28.9,77.3,14.1,2020-03
161,28.9,77.5,14.05,2020-03
162,28.8,76.7,13.61,2020-03
163,28.8,76.8,13.79,2020-03
164,28.8,76.8,13.9,2020-03
165,28.8,76.9,14.01,2020-03
166,28.8,77.0,14.11,2020-03
167,28.8,77.1,14.17,2020-03
168,28.8,77.2,14.17,2020-03
169,28.8,77.3,14.16,2020-03
170,28.8,77.5,14.14,2020-03
171,28.7,76.7,13.53,2020-03
172,28.7,76.8,13.66,2020-03
173,28.7,76.8,13.82,2020-03
174,28.7,76.9,13.97,2020-03
175,28.7,77.0,14.16,2020-03
176,28.7,77.1,14.25,2020-03
177,28.7,77.2,14.12,2020-03
178,28.7,77.3,14.15,2020-03
179,28.7,77.5,14.18,2020-03
180,28.5,76.7,13.46,2020-03
181,28.5,76.8,13.59,2020-03
182,28.5,76.8,13.76,2020-03
183,28.5,76.9,13.88,2020-03
184,28.5,77.0,13.97,2020-03
185,28.5,77.1,13.98,2020-03
186,28.5,77.2,14.04,2020-03
187,28.5,77.3,14.14,2020-03
188,28.5,77.5,14.17,2020-03
189,28.4,76.7,13.34,2020-03
190,28.4,76.8,13.5,2020-03
191,28.4,76.8,13.64,2020-03
192,28.4,76.9,13.71,2020-03
193,28.4,77.0,13.7,2020-03
194,28.4,77.1,13.77,2020-03
195,28.4,77.2,13.95,2020-03
196,28.4,77.3,14.13,2020-03
197,28.4,77.5,14.16,2020-03
198,28.3,76.7,13.19,2020-03
199,28.3,76.8,13.32,2020-03
200,28.3,76.8,13.41,2020-03
201,28.3,76.9,13.48,2020-03
202,28.3,77.0,13.56,2020-03
203,28.3,77.1,13.7,2020-03
204,28.3,77.2,13.92,2020-03
205,28.3,77.3,14.1,2020-03
206,28.3,77.5,14.17,2020-03
207,28.3,76.7,13.02,2020-03
208,28.3,76.8,13.08,2020-03
209,28.3,76.8,13.13,2020-03
210,28.3,76.9,13.3,2020-03
211,28.3,77.0,13.54,2020-03
212,28.3,77.1,13.74,2020-03
213,28.3,77.2,13.89,2020-03
214,28.3,77.3,14.03,2020-03
215,28.3,77.5,14.11,2020-03
216,29.0,76.7,13.41,2020-04
217,29.0,76.8,13.66,2020-04
218,29.0,76.8,13.83,2020-04
219,29.0,76.9,13.83,2020-04
220,29.0,77.0,13.86,2020-04
221,29.0,77.1,13.9,2020-04
222,29.0,77.2,13.8,2020-04
223,29.0,77.3,13.68,2020-04
224,29.0,77.5,13.54,2020-04
225,28.9,76.7,13.2,2020-04
226,28.9,76.8,13.55,2020-04
227,28.9,76.8,13.7,2020-04
228,28.9,76.9,13.76,2020-04
229,28.9,77.0,13.94,2020-04
230,28.9,77.1,14.06,2020-04
231,28.9,77.2,13.99,2020-04
232,28.9,77.3,13.91,2020-04
233,28.9,77.5,13.8,2020-04
234,28.8,76.7,12.96,2020-04
235,28.8,76.8,13.34,2020-04
236,28.8,76.8,13.6,2020-04
237,28.8,76.9,13.8,2020-04
238,28.8,77.0,13.97,2020-04
239,28.8,77.1,14.08,2020-04
240,28.8,77.2,14.08,2020-04
241,28.8,77.3,14.04,2020-04
242,28.8,77.5,13.97,2020-04
243,28.7,76.7,12.86,2020-04
244,28.7,76.8,13.17,2020-04
245,28.7,76.8,13.46,2020-04
246,28.7,76.9,13.72,2020-04
247,28.7,77.0,13.91,2020-04
248,28.7,77.1,14.0,2020-04
249,28.7,77.2,13.98,2020-04
250,28.7,77.3,13.98,2020-04
251,28.7,77.5,13.99,2020-04
252,28.5,76.7,12.74,2020-04
253,28.5,76.8,13.03,2020-04
254,28.5,76.8,13.33,2020-04
255,28.5,76.9,13.55,2020-04
256,28.5,77.0,13.67,2020-04
257,28.5,77.1,13.73,2020-04
258,28.5,77.2,13.84,2020-04
259,28.5,77.3,13.92,2020-04
260,28.5,77.5,13.91,2020-04
261,28.4,76.7,12.5,2020-04
262,28.4,76.8,12.82,2020-04
263,28.4,76.8,13.1,2020-04
264,28.4,76.9,13.26,2020-04
265,28.4,77.0,13.31,2020-04
266,28.4,77.1,13.43,2020-04
267,28.4,77.2,13.65,2020-04
268,28.4,77.3,13.85,2020-04
269,28.4,77.5,13.84,2020-04
270,28.3,76.7,12.24,2020-04
271,28.3,76.8,12.52,2020-04
272,28.3,76.8,12.74,2020-04
273,28.3,76.9,12.91,2020-04
274,28.3,77.0,13.07,2020-04
275,28.3,77.1,13.28,2020-04
276,28.3,77.2,13.55,2020-04
277,28.3,77.3,13.76,2020-04
278,28.3,77.5,13.79,2020-04
279,28.3,76.7,11.99,2020-04
280,28.3,76.8,12.15,2020-04
281,28.3,76.8,12.32,2020-04
282,28.3,76.9,12.58,2020-04
283,28.3,77.0,12.92,2020-04
284,28.3,77.1,13.2,2020-04
285,28.3,77.2,13.4,2020-04
286,28.3,77.3,13.58,2020-04
287,28.3,77.5,13.66,2020-04
288,29.0,76.7,14.51,2020-05
289,29.0,76.8,14.8,2020-05
290,29.0,76.8,15.05,2020-05
291,29.0,76.9,15.24,2020-05
292,29.0,77.0,15.45,2020-05
293,29.0,77.1,15.65,2020-05
294,29.0,77.2,15.7,2020-05
295,29.0,77.3,15.68,2020-05
296,29.0,77.5,15.65,2020-05
297,28.9,76.7,14.32,2020-05
298,28.9,76.8,14.68,2020-05
299,28.9,76.8,14.93,2020-05
300,28.9,76.9,15.15,2020-05
301,28.9,77.0,15.49,2020-05
302,28.9,77.1,15.76,2020-05
303,28.9,77.2,15.88,2020-05
304,28.9,77.3,15.92,2020-05
305,28.9,77.5,15.94,2020-05
306,28.8,76.7,14.1,2020-05
307,28.8,76.8,14.5,2020-05
308,28.8,76.8,14.84,2020-05
309,28.8,76.9,15.18,2020-05
310,28.8,77.0,15.5,2020-05
311,28.8,77.1,15.76,2020-05
312,28.8,77.2,15.92,2020-05
313,28.8,77.3,16.05,2020-05
314,28.8,77.5,16.13,2020-05
315,28.7,76.7,13.97,2020-05
316,28.7,76.8,14.31,2020-05
317,28.7,76.8,14.68,2020-05
318,28.7,76.9,15.07,2020-05
319,28.7,77.0,15.41,2020-05
320,28.7,77.1,15.67,2020-05
321,28.7,77.2,15.82,2020-05
322,28.7,77.3,15.99,2020-05
323,28.7,77.5,16.13,2020-05
324,28.5,76.7,13.82,2020-05
325,28.5,76.8,14.15,2020-05
326,28.5,76.8,14.53,2020-05
327,28.5,76.9,14.92,2020-05
328,28.5,77.0,15.17,2020-05
329,28.5,77.1,15.4,2020-05
330,28.5,77.2,15.67,2020-05
331,28.5,77.3,15.92,2020-05
332,28.5,77.5,16.06,2020-05
333,28.4,76.7,13.56,2020-05
334,28.4,76.8,13.93,2020-05
335,28.4,76.8,14.28,2020-05
336,28.4,76.9,14.61,2020-05
337,28.4,77.0,14.82,2020-05
338,28.4,77.1,15.1,2020-05
339,28.4,77.2,15.49,2020-05
340,28.4,77.3,15.84,2020-05
341,28.4,77.5,15.99,2020-05
342,28.3,76.7,13.29,2020-05
343,28.3,76.8,13.6,2020-05
344,28.3,76.8,13.91,2020-05
345,28.3,76.9,14.24,2020-05
346,28.3,77.0,14.62,2020-05
347,28.3,77.1,15.04,2020-05
348,28.3,77.2,15.44,2020-05
349,28.3,77.3,15.77,2020-05
350,28.3,77.5,15.95,2020-05
351,28.3,76.7,13.07,2020-05
352,28.3,76.8,13.22,2020-05
353,28.3,76.8,13.47,2020-05
354,28.3,76.9,13.97,2020-05
355,28.3,77.0,14.57,2020-05
356,28.3,77.1,15.06,2020-05
357,28.3,77.2,15.38,2020-05
358,28.3,77.3,15.65,2020-05
359,28.3,77.5,15.83,2020-05
360,29.0,76.7,22.34,2020-06
361,29.0,76.8,22.48,2020-06
362,29.0,76.8,22.59,2020-06
363,29.0,76.9,22.67,2020-06
364,29.0,77.0,22.77,2020-06
365,29.0,77.1,22.82,2020-06
366,29.0,77.2,22.81,2020-06
367,29.0,77.3,22.83,2020-06
368,29.0,77.5,22.85,2020-06
369,28.9,76.7,22.09,2020-06
370,28.9,76.8,22.34,2020-06
371,28.9,76.8,22.45,2020-06
372,28.9,76.9,22.54,2020-06
373,28.9,77.0,22.69,2020-06
374,28.9,77.1,22.78,2020-06
375,28.9,77.2,22.81,2020-06
376,28.9,77.3,22.82,2020-06
377,28.9,77.5,22.83,2020-06
378,28.8,76.7,21.78,2020-06
379,28.8,76.8,22.09,2020-06
380,28.8,76.8,22.29,2020-06
381,28.8,76.9,22.44,2020-06
382,28.8,77.0,22.58,2020-06
383,28.8,77.1,22.67,2020-06
384,28.8,77.2,22.72,2020-06
385,28.8,77.3,22.76,2020-06
386,28.8,77.5,22.8,2020-06
387,28.7,76.7,21.66,2020-06
388,28.7,76.8,21.88,2020-06
389,28.7,76.8,22.1,2020-06
390,28.7,76.9,22.3,2020-06
391,28.7,77.0,22.49,2020-06
392,28.7,77.1,22.59,2020-06
393,28.7,77.2,22.57,2020-06
394,28.7,77.3,22.65,2020-06
395,28.7,77.5,22.72,2020-06
396,28.5,76.7,21.5,2020-06
397,28.5,76.8,21.68,2020-06
398,28.5,76.8,21.9,2020-06
399,28.5,76.9,22.09,2020-06
400,28.5,77.0,22.2,2020-06
401,28.5,77.1,22.26,2020-06
402,28.5,77.2,22.38,2020-06
403,28.5,77.3,22.55,2020-06
404,28.5,77.5,22.62,2020-06
405,28.4,76.7,21.26,2020-06
406,28.4,76.8,21.47,2020-06
407,28.4,76.8,21.66,2020-06
408,28.4,76.9,21.79,2020-06
409,28.4,77.0,21.82,2020-06
410,28.4,77.1,21.93,2020-06
411,28.4,77.2,22.18,2020-06
412,28.4,77.3,22.43,2020-06
413,28.4,77.5,22.51,2020-06
414,28.3,76.7,21.08,2020-06
415,28.3,76.8,21.24,2020-06
416,28.3,76.8,21.38,2020-06
417,28.3,76.9,21.5,2020-06
418,28.3,77.0,21.63,2020-06
419,28.3,77.1,21.83,2020-06
420,28.3,77.2,22.09,2020-06
421,28.3,77.3,22.34,2020-06
422,28.3,77.5,22.44,2020-06
423,28.3,76.7,20.88,2020-06
424,28.3,76.8,20.95,2020-06
425,28.3,76.8,21.03,2020-06
426,28.3,76.9,21.26,2020-06
427,28.3,77.0,21.56,2020-06
428,28.3,77.1,21.82,2020-06
429,28.3,77.2,22.01,2020-06
430,28.3,77.3,22.18,2020-06
431,28.3,77.5,22.3,2020-06
432,29.0,76.7,24.8,2020-07
433,29.0,76.8,24.89,2020-07
434,29.0,76.8,24.96,2020-07
435,29.0,76.9,25.02,2020-07
436,29.0,77.0,25.09,2020-07
437,29.0,77.1,25.09,2020-07
438,29.0,77.2,25.08,2020-07
439,29.0,77.3,25.1,2020-07
440,29.0,77.5,25.1,2020-07
441,28.9,76.7,24.68,2020-07
442,28.9,76.8,24.79,2020-07
443,28.9,76.8,24.85,2020-07
444,28.9,76.9,24.91,2020-07
445,28.9,77.0,25.0,2020-07
446,28.9,77.1,25.06,2020-07
447,28.9,77.2,25.07,2020-07
448,28.9,77.3,25.09,2020-07
449,28.9,77.5,25.08,2020-07
450,28.8,76.7,24.53,2020-07
451,28.8,76.8,24.65,2020-07
452,28.8,76.8,24.73,2020-07
453,28.8,76.9,24.81,2020-07
454,28.8,77.0,24.89,2020-07
455,28.8,77.1,24.95,2020-07
456,28.8,77.2,24.99,2020-07
457,28.8,77.3,25.03,2020-07
458,28.8,77.5,25.05,2020-07
459,28.7,76.7,24.47,2020-07
460,28.7,76.8,24.55,2020-07
461,28.7,76.8,24.65,2020-07
462,28.7,76.9,24.76,2020-07
463,28.7,77.0,24.9,2020-07
464,28.7,77.1,24.98,2020-07
465,28.7,77.2,24.91,2020-07
466,28.7,77.3,24.98,2020-07
467,28.7,77.5,25.04,2020-07
468,28.5,76.7,24.41,2020-07
469,28.5,76.8,24.49,2020-07
470,28.5,76.8,24.6,2020-07
471,28.5,76.9,24.68,2020-07
472,28.5,77.0,24.72,2020-07
473,28.5,77.1,24.72,2020-07
474,28.5,77.2,24.81,2020-07
475,28.5,77.3,24.95,2020-07
476,28.5,77.5,25.0,2020-07
477,28.4,76.7,24.33,2020-07
478,28.4,76.8,24.44,2020-07
479,28.4,76.8,24.53,2020-07
480,28.4,76.9,24.54,2020-07
481,28.4,77.0,24.48,2020-07
482,28.4,77.1,24.5,2020-07
483,28.4,77.2,24.7,2020-07
484,28.4,77.3,24.91,2020-07
485,28.4,77.5,24.97,2020-07
486,28.3,76.7,24.29,2020-07
487,28.3,76.8,24.35,2020-07
488,28.3,76.8,24.37,2020-07
489,28.3,76.9,24.39,2020-07
490,28.3,77.0,24.41,2020-07
491,28.3,77.1,24.49,2020-07
492,28.3,77.2,24.66,2020-07
493,28.3,77.3,24.84,2020-07
494,28.3,77.5,24.92,2020-07
495,28.3,76.7,24.24,2020-07
496,28.3,76.8,24.21,2020-07
497,28.3,76.8,24.19,2020-07
498,28.3,76.9,24.29,2020-07
499,28.3,77.0,24.46,2020-07
500,28.3,77.1,24.58,2020-07
501,28.3,77.2,24.67,2020-07
502,28.3,77.3,24.75,2020-07
503,28.3,77.5,24.81,2020-07
504,29.0,76.7,25.28,2020-08
505,29.0,76.8,25.31,2020-08
506,29.0,76.8,25.32,2020-08
507,29.0,76.9,25.36,2020-08
508,29.0,77.0,25.4,2020-08
509,29.0,77.1,25.37,2020-08
510,29.0,77.2,25.34,2020-08
511,29.0,77.3,25.35,2020-08
512,29.0,77.5,25.36,2020-08
513,28.9,76.7,25.2,2020-08
514,28.9,76.8,25.26,2020-08
515,28.9,76.8,25.28,2020-08
516,28.9,76.9,25.31,2020-08
517,28.9,77.0,25.35,2020-08
518,28.9,77.1,25.37,2020-08
519,28.9,77.2,25.35,2020-08
520,28.9,77.3,25.35,2020-08
521,28.9,77.5,25.35,2020-08
522,28.8,76.7,25.06,2020-08
523,28.8,76.8,25.15,2020-08
524,28.8,76.8,25.21,2020-08
525,28.8,76.9,25.26,2020-08
526,28.8,77.0,25.29,2020-08
527,28.8,77.1,25.31,2020-08
528,28.8,77.2,25.32,2020-08
529,28.8,77.3,25.33,2020-08
530,28.8,77.5,25.33,2020-08
531,28.7,76.7,25.01,2020-08
532,28.7,76.8,25.07,2020-08
533,28.7,76.8,25.16,2020-08
534,28.7,76.9,25.25,2020-08
535,28.7,77.0,25.34,2020-08
536,28.7,77.1,25.37,2020-08
537,28.7,77.2,25.3,2020-08
538,28.7,77.3,25.34,2020-08
539,28.7,77.5,25.35,2020-08
540,28.5,76.7,24.97,2020-08
541,28.5,76.8,25.03,2020-08
542,28.5,76.8,25.13,2020-08
543,28.5,76.9,25.2,2020-08
544,28.5,77.0,25.23,2020-08
545,28.5,77.1,25.2,2020-08
546,28.5,77.2,25.26,2020-08
547,28.5,77.3,25.35,2020-08
548,28.5,77.5,25.35,2020-08
549,28.4,76.7,24.92,2020-08
550,28.4,76.8,25.0,2020-08
551,28.4,76.8,25.07,2020-08
552,28.4,76.9,25.09,2020-08
553,28.4,77.0,25.04,2020-08
554,28.4,77.1,25.06,2020-08
555,28.4,77.2,25.2,2020-08
556,28.4,77.3,25.34,2020-08
557,28.4,77.5,25.35,2020-08
558,28.3,76.7,24.89,2020-08
559,28.3,76.8,24.95,2020-08
560,28.3,76.8,24.97,2020-08
561,28.3,76.9,24.99,2020-08
562,28.3,77.0,25.02,2020-08
563,28.3,77.1,25.09,2020-08
564,28.3,77.2,25.21,2020-08
565,28.3,77.3,25.33,2020-08
566,28.3,77.5,25.37,2020-08
567,28.3,76.7,24.85,2020-08
568,28.3,76.8,24.84,2020-08
569,28.3,76.8,24.82,2020-08
570,28.3,76.9,24.93,2020-08
571,28.3,77.0,25.1,2020-08
572,28.3,77.1,25.21,2020-08
573,28.3,77.2,25.26,2020-08
574,28.3,77.3,25.3,2020-08
575,28.3,77.5,25.32,2020-08
576,29.0,76.7,22.21,2020-09
577,29.0,76.8,22.49,2020-09
578,29.0,76.8,22.71,2020-09
579,29.0,76.9,22.86,2020-09
580,29.0,77.0,23.04,2020-09
581,29.0,77.1,23.16,2020-09
582,29.0,77.2,23.24,2020-09
583,29.0,77.3,23.38,2020-09
584,29.0,77.5,23.48,2020-09
585,28.9,76.7,21.88,2020-09
586,28.9,76.8,22.24,2020-09
587,28.9,76.8,22.46,2020-09
588,28.9,76.9,22.63,2020-09
589,28.9,77.0,22.87,2020-09
590,28.9,77.1,23.08,2020-09
591,28.9,77.2,23.19,2020-09
