Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
272,28.8,77.0,0.0,2022-08,1.64,50.0,28.743864,24.43,-2.6426623,977.47614
273,28.8,77.0,0.0,2022-08,20.33,47.0,28.743864,24.43,-2.6426623,977.47614
274,28.8,77.1,0.0,2022-08,9.75,80.0,28.700174,24.49,-2.6464891,977.4264
275,28.8,77.1,0.0,2022-08,19.07,45.0,28.700174,24.49,-2.6464891,977.4264
276,28.8,77.2,0.0,2022-08,9.05,200.0,28.64815,24.51,-2.641045,977.1522
277,28.8,77.2,0.0,2022-08,7.32,65.0,28.64815,24.51,-2.641045,977.1522
278,28.8,77.2,0.0,2022-08,8.18,85.0,28.64815,24.51,-2.641045,977.1522
279,28.8,77.2,0.0,2022-08,10.46,101.0,28.64815,24.51,-2.641045,977.1522
280,28.5,76.9,0.0,2022-08,0.79,28.0,28.925064,24.18,-2.4788697,978.0708
281,28.5,76.9,0.0,2022-08,7.36,100.0,28.925064,24.18,-2.4788697,978.0708
282,28.5,76.9,0.0,2022-08,7.22,40.0,28.925064,24.18,-2.4788697,978.0708
283,28.5,76.9,0.0,2022-08,0.97,15.0,28.925064,24.18,-2.4788697,978.0708
284,28.5,76.9,0.0,2022-08,10.69,100.0,28.925064,24.18,-2.4788697,978.0708
285,28.5,77.0,0.0,2022-08,7.37,75.0,28.78256,24.23,-2.5693448,976.74133
286,28.5,77.0,0.0,2022-08,14.39,105.0,28.78256,24.23,-2.5693448,976.74133
287,28.5,77.0,0.0,2022-08,16.85,125.0,28.78256,24.23,-2.5693448,976.74133
288,28.5,77.1,0.0,2022-08,13.21,55.0,28.69958,24.23,-2.6229074,975.706
289,28.5,77.1,0.0,2022-08,13.41,100.0,28.69958,24.23,-2.6229074,975.706
290,28.5,77.1,0.0,2022-08,2.97,20.0,28.69958,24.23,-2.6229074,975.706
291,28.5,77.1,0.0,2022-08,51.03,65.0,28.69958,24.23,-2.6229074,975.706
292,28.5,77.1,0.0,2022-08,14.61,100.0,28.69958,24.23,-2.6229074,975.706
293,28.5,77.1,0.0,2022-08,32.37,43.0,28.69958,24.23,-2.6229074,975.706
294,28.5,77.2,0.0,2022-08,48.59,150.0,28.739376,24.3,-2.644237,976.7579
295,28.5,77.2,0.0,2022-08,24.5,104.0,28.739376,24.3,-2.644237,976.7579
296,28.5,77.2,0.0,2022-08,2.48,12.0,28.739376,24.3,-2.644237,976.7579
297,28.5,77.3,0.0,2022-08,8.6,75.0,28.776436,24.39,-2.5474186,978.11536
298,28.5,77.3,0.0,2022-08,10.27,45.0,28.776436,24.39,-2.5474186,978.11536
299,28.4,77.1,0.0,2022-08,52.68,65.0,28.607277,24.02,-2.6785128,973.71674
300,28.4,77.1,0.0,2022-08,40.96,100.0,28.607277,24.02,-2.6785128,973.71674
301,28.4,77.1,0.0,2022-08,66.51,82.0,28.607277,24.02,-2.6785128,973.71674
302,28.4,77.1,0.0,2022-08,62.07,90.0,28.607277,24.02,-2.6785128,973.71674
303,28.4,77.2,0.0,2022-08,14.81,35.0,28.741247,24.16,-2.5976923,976.02026
304,28.4,77.2,0.0,2022-08,48.24,86.5,28.741247,24.16,-2.5976923,976.02026
305,28.8,77.0,0.0,2022-11,1.69,100.0,19.87709,12.61,-1.3101637,989.83966
306,28.8,77.0,0.0,2022-11,2.08,8.6,19.87709,12.61,-1.3101637,989.83966
307,28.8,77.0,0.0,2022-11,2.62,50.0,19.87709,12.61,-1.3101637,989.83966
308,28.8,77.0,0.0,2022-11,19.84,47.0,19.87709,12.61,-1.3101637,989.83966
309,28.8,77.1,0.0,2022-11,8.93,80.0,19.780182,12.74,-1.3735328,989.7349
310,28.8,77.1,0.0,2022-11,19.02,45.0,19.780182,12.74,-1.3735328,989.7349
311,28.8,77.2,0.0,2022-11,8.62,200.0,19.708948,12.79,-1.3832995,989.44104
312,28.8,77.2,0.0,2022-11,6.47,65.0,19.708948,12.79,-1.3832995,989.44104
313,28.8,77.2,0.0,2022-11,8.62,85.0,19.708948,12.79,-1.3832995,989.44104
314,28.8,77.2,0.0,2022-11,9.2,101.0,19.708948,12.79,-1.3832995,989.44104
315,28.5,76.9,0.0,2022-11,0.84,28.0,20.247078,12.2,-1.2851639,990.3779
316,28.5,76.9,0.0,2022-11,6.33,100.0,20.247078,12.2,-1.2851639,990.3779
317,28.5,76.9,0.0,2022-11,6.12,40.0,20.247078,12.2,-1.2851639,990.3779
318,28.5,76.9,0.0,2022-11,2.58,15.0,20.247078,12.2,-1.2851639,990.3779
319,28.5,76.9,0.0,2022-11,10.62,100.0,20.247078,12.2,-1.2851639,990.3779
320,28.5,77.0,0.0,2022-11,7.52,75.0,20.11696,12.38,-1.2498784,989.1052
321,28.5,77.0,0.0,2022-11,-13.89,,20.11696,12.38,-1.2498784,989.1052
322,28.5,77.0,0.0,2022-11,13.14,105.0,20.11696,12.38,-1.2498784,989.1052
323,28.5,77.0,0.0,2022-11,-15.56,,20.11696,12.38,-1.2498784,989.1052
324,28.5,77.0,0.0,2022-11,14.15,125.0,20.11696,12.38,-1.2498784,989.1052
325,28.5,77.1,0.0,2022-11,13.65,55.0,20.030918,12.5,-1.311694,988.11664
326,28.5,77.1,0.0,2022-11,13.08,100.0,20.030918,12.5,-1.311694,988.11664
327,28.5,77.1,0.0,2022-11,2.66,20.0,20.030918,12.5,-1.311694,988.11664
328,28.5,77.1,0.0,2022-11,43.04,65.0,20.030918,12.5,-1.311694,988.11664
329,28.5,77.1,0.0,2022-11,14.26,100.0,20.030918,12.5,-1.311694,988.11664
330,28.5,77.1,0.0,2022-11,31.68,43.0,20.030918,12.5,-1.311694,988.11664
331,28.5,77.2,0.0,2022-11,44.7,150.0,19.966936,12.59,-1.4497555,989.0504
332,28.5,77.2,0.0,2022-11,39.04,94.5,19.966936,12.59,-1.4497555,989.0504
333,28.5,77.2,0.0,2022-11,23.95,104.0,19.966936,12.59,-1.4497555,989.0504
334,28.5,77.3,0.0,2022-11,8.0,75.0,19.914347,12.71,-1.3527994,990.4359
335,28.5,77.3,0.0,2022-11,9.64,45.0,19.914347,12.71,-1.3527994,990.4359
336,28.4,77.1,0.0,2022-11,51.69,65.0,19.982546,12.28,-1.3635303,985.88855
337,28.4,77.1,0.0,2022-11,10.07,100.0,19.982546,12.28,-1.3635303,985.88855
338,28.4,77.1,0.0,2022-11,66.75,82.0,19.982546,12.28,-1.3635303,985.88855
339,28.4,77.1,0.0,2022-11,64.74,90.0,19.982546,12.28,-1.3635303,985.88855
340,28.4,77.2,0.0,2022-11,16.0,35.0,20.047207,12.44,-1.3771396,988.13855
341,28.4,77.2,0.0,2022-11,39.17,86.5,20.047207,12.44,-1.3771396,988.13855
342,28.5,76.9,0.0,2022-12,-10.74,,15.112218,8.3,-0.64973414,991.37805
343,28.5,77.0,0.0,2022-12,-8.03,,15.06915,8.39,-0.58360255,990.0542
344,28.5,77.0,0.0,2022-12,-14.28,,15.06915,8.39,-0.58360255,990.0542
345,28.5,77.0,0.0,2022-12,-15.37,,15.06915,8.39,-0.58360255,990.0542
346,28.4,77.1,0.0,2022-12,-66.86,,15.110593,8.27,-0.6188449,986.75824
347,28.5,76.9,0.0,2023-01,-10.72,,12.583719,7.85,-0.61189055,993.42365
348,28.5,77.0,0.0,2023-01,-8.3,,12.58034,7.94,-0.599088,992.0985
349,28.5,77.0,0.0,2023-01,-14.86,,12.58034,7.94,-0.599088,992.0985
350,28.5,77.0,0.0,2023-01,-15.14,,12.58034,7.94,-0.599088,992.0985
351,28.4,77.1,0.0,2023-01,-66.83,,12.616508,7.82,-0.5956545,988.76294
352,28.5,76.9,0.0,2023-02,-10.69,,18.8678,9.56,-1.0434434,989.98016
353,28.5,77.0,0.0,2023-02,-8.63,,18.78801,9.65,-0.9278826,988.6929
354,28.5,77.0,0.0,2023-02,-15.12,,18.78801,9.65,-0.9278826,988.6929
355,28.5,77.0,0.0,2023-02,-14.94,,18.78801,9.65,-0.9278826,988.6929
356,28.4,77.1,0.0,2023-02,-66.77,,18.838139,9.36,-0.93238485,985.4537
357,28.5,76.9,0.0,2023-03,-10.69,,22.40761,13.63,-1.2270684,988.52783
358,28.5,77.0,0.0,2023-03,-8.93,,22.276209,13.66,-1.2508374,987.27673
359,28.5,77.0,0.0,2023-03,-15.84,,22.276209,13.66,-1.2508374,987.27673
360,28.5,77.0,0.0,2023-03,-14.78,,22.276209,13.66,-1.2508374,987.27673
361,28.4,77.1,0.0,2023-03,-66.89,,22.272406,13.28,-1.2782012,984.0794
362,28.8,77.0,0.0,2023-04,-19.83,,26.465183,10.82,-1.324561,984.31165
363,28.8,77.2,0.0,2023-04,-9.77,,26.384958,10.86,-1.4976544,983.9323
364,28.5,76.9,0.0,2023-04,-10.64,,26.981106,10.27,-1.4012451,984.7977
365,28.5,77.0,0.0,2023-04,-9.11,,26.841461,10.36,-1.3152742,983.56665
366,28.5,77.0,0.0,2023-04,-17.26,,26.841461,10.36,-1.3152742,983.56665
367,28.5,77.0,0.0,2023-04,-14.64,,26.841461,10.36,-1.3152742,983.56665
368,28.5,77.2,0.0,2023-04,-23.33,,26.766642,10.44,-1.5800934,983.5261
369,28.4,77.1,0.0,2023-04,-66.94,,26.80434,9.97,-1.2674654,980.426
370,28.8,76.9,0.0,2023-05,-4.61,,29.26264,14.87,-1.4759252,981.1209
371,28.8,77.0,0.0,2023-05,-3.15,,29.203028,15.05,-1.5346962,981.4516
372,28.8,77.0,0.0,2023-05,-7.52,,29.203028,15.05,-1.5346962,981.4516
373,28.8,77.0,0.0,2023-05,-19.72,,29.203028,15.05,-1.5346962,981.4516
374,28.8,77.1,0.0,2023-05,-9.13,,29.090124,15.21,-1.6785504,981.36475
375,28.8,77.1,0.0,2023-05,-7.75,,29.090124,15.21,-1.6785504,981.36475
376,28.8,77.1,0.0,2023-05,-21.15,,29.090124,15.21,-1.6785504,981.36475
377,28.8,77.2,0.0,2023-05,-9.9,,28.95148,15.34,-1.8125536,981.10266
378,28.5,76.9,0.0,2023-05,-10.63,,29.610682,14.64,-1.7004622,981.9382
379,28.5,77.0,0.0,2023-05,-9.36,,29.46404,14.75,-1.7237837,980.7272
380,28.5,77.0,0.0,2023-05,-18.15,,29.46404,14.75,-1.7237837,980.7272
381,28.5,77.0,0.0,2023-05,-14.53,,29.46404,14.75,-1.7237837,980.7272
382,28.5,77.2,0.0,2023-05,-38.37,,29.30108,14.98,-1.9753687,980.7069
383,28.5,77.2,0.0,2023-05,-23.29,,29.30108,14.98,-1.9753687,980.7069
384,28.5,77.3,0.0,2023-05,-9.78,,29.284945,15.17,-1.8605847,982.0551
385,28.4,77.1,0.0,2023-05,-67.09,,29.379246,14.42,-1.7622277,977.64026
386,28.4,77.2,0.0,2023-05,-47.08,,29.465958,14.68,-1.8141178,979.81915
387,28.8,76.9,0.0,2023-06,-4.6,,31.443874,20.65,-1.1757472,976.4961
388,28.8,77.0,0.0,2023-06,-2.94,,31.34639,20.78,-1.1935056,976.81665
389,28.8,77.0,0.0,2023-06,-7.58,,31.34639,20.78,-1.1935056,976.81665
390,28.8,77.0,0.0,2023-06,-20.12,,31.34639,20.78,-1.1935056,976.81665
391,28.8,77.1,0.0,2023-06,-9.04,,31.233334,20.86,-1.2932259,976.7243
392,28.8,77.1,0.0,2023-06,-7.83,,31.233334,20.86,-1.2932259,976.7243
393,28.8,77.1,0.0,2023-06,-21.65,,31.233334,20.86,-1.2932259,976.7243
394,28.8,77.2,0.0,2023-06,-10.47,,31.13751,20.89,-1.3446519,976.4541
395,28.5,76.9,0.0,2023-06,-10.61,,31.602312,20.6,-1.3165786,977.33704
396,28.5,77.0,0.0,2023-06,-9.4,,31.48476,20.57,-1.2543004,976.1317
397,28.5,77.0,0.0,2023-06,-19.04,,31.48476,20.57,-1.2543004,976.1317
398,28.5,77.0,0.0,2023-06,-14.41,,31.48476,20.57,-1.2543004,976.1317
399,28.5,77.2,0.0,2023-06,-38.16,,31.349892,20.65,-1.4484727,976.09375
400,28.5,77.2,0.0,2023-06,-23.03,,31.349892,20.65,-1.4484727,976.09375
401,28.5,77.3,0.0,2023-06,-9.85,,31.343763,20.76,-1.3539237,977.4128
402,28.4,77.1,0.0,2023-06,-67.22,,31.33092,20.31,-1.2000365,973.09106
403,28.4,77.2,0.0,2023-06,-47.61,,31.393452,20.48,-1.3253666,975.23114
404,28.8,76.9,0.0,2023-07,-3.74,,29.240505,25.56,-2.1861901,976.2404
405,28.8,77.0,0.0,2023-07,-1.45,,29.15176,25.64,-2.22722,976.5941
406,28.8,77.0,0.0,2023-07,-6.96,,29.15176,25.64,-2.22722,976.5941
407,28.8,77.0,0.0,2023-07,-20.44,,29.15176,25.64,-2.22722,976.5941
408,28.8,77.1,0.0,2023-07,-9.16,,29.047289,25.67,-2.2629735,976.5355
409,28.8,77.1,0.0,2023-07,-17.96,,29.047289,25.67,-2.2629735,976.5355
410,28.8,77.1,0.0,2023-07,-22.29,,29.047289,25.67,-2.2629735,976.5355
411,28.8,77.2,0.0,2023-07,-7.87,,28.936556,25.66,-2.3084884,976.3009
412,28.5,76.9,0.0,2023-07,-10.41,,29.36237,25.6,-2.1307743,977.041
413,28.5,77.0,0.0,2023-07,-8.79,,29.170198,25.62,-2.2281926,975.87146
414,28.5,77.0,0.0,2023-07,-18.94,,29.170198,25.62,-2.2281926,975.87146
415,28.5,77.0,0.0,2023-07,-14.19,,29.170198,25.62,-2.2281926,975.87146
416,28.5,77.2,0.0,2023-07,-38.05,,29.002855,25.64,-2.3339772,975.90485
417,28.5,77.2,0.0,2023-07,-22.93,,29.002855,25.64,-2.3339772,975.90485
418,28.5,77.3,0.0,2023-07,-9.27,,28.975916,25.7,-2.2758453,977.26447
419,28.4,77.1,0.0,2023-07,-67.23,,28.95058,25.51,-2.3994582,972.8353
420,28.4,77.2,0.0,2023-07,-43.52,,29.004295,25.6,-2.3064795,975.01904
421,28.8,76.9,0.0,2023-08,-3.37,,30.09117,23.7,-2.7992063,976.6791
422,28.8,77.0,0.0,2023-08,-1.13,,29.958574,23.93,-2.8742778,977.0061
423,28.8,77.0,0.0,2023-08,-6.79,,29.958574,23.93,-2.8742778,977.0061
424,28.8,77.0,0.0,2023-08,-20.39,,29.958574,23.93,-2.8742778,977.0061
425,28.8,77.1,0.0,2023-08,-9.11,,29.798279,24.11,-2.949721,976.92236
426,28.8,77.1,0.0,2023-08,-6.87,,29.798279,24.11,-2.949721,976.92236
427,28.8,77.1,0.0,2023-08,26.06,35.0,29.798279,24.11,-2.949721,976.92236
428,28.8,77.1,0.0,2023-08,-22.57,,29.798279,24.11,-2.949721,976.92236
429,28.8,77.2,0.0,2023-08,-7.21,,29.626375,24.24,-3.0028179,976.6643
430,28.5,76.9,0.0,2023-08,-10.22,,30.181335,23.54,-2.7043228,977.58746
431,28.5,77.0,0.0,2023-08,-8.34,,29.93286,23.72,-2.828992,976.3913
432,28.5,77.0,0.0,2023-08,-18.01,,29.93286,23.72,-2.828992,976.3913
433,28.5,77.0,0.0,2023-08,-13.92,,29.93286,23.72,-2.828992,976.3913
434,28.5,77.2,0.0,2023-08,-37.78,,29.65696,24.03,-3.0765355,976.3748
435,28.5,77.2,0.0,2023-08,-22.68,,29.65696,24.03,-3.0765355,976.3748
436,28.5,77.3,0.0,2023-08,-8.46,,29.59559,24.23,-2.988431,977.70984
437,28.4,77.1,0.0,2023-08,-67.29,,29.594294,23.62,-3.0613656,973.3861
438,28.4,77.2,0.0,2023-08,-34.71,,29.619627,23.89,-3.0365062,975.5445
439,28.8,76.9,0.0,2023-09,-3.71,,29.011301,22.94,-2.3763278,979.72766
440,28.8,77.0,0.0,2023-09,-1.57,,28.930187,23.12,-2.4164422,980.06024
441,28.8,77.0,0.0,2023-09,9.76,85.0,28.930187,23.12,-2.4164422,980.06024
442,28.8,77.0,0.0,2023-09,-7.1,,28.930187,23.12,-2.4164422,980.06024
443,28.8,77.0,0.0,2023-09,-20.29,,28.930187,23.12,-2.4164422,980.06024
444,28.8,77.1,0.0,2023-09,-8.8,,28.800112,23.29,-2.5078278,979.98114
445,28.8,77.1,0.0,2023-09,-9.16,,28.800112,23.29,-2.5078278,979.98114
446,28.8,77.1,0.0,2023-09,13.51,40.0,28.800112,23.29,-2.5078278,979.98114
447,28.8,77.1,0.0,2023-09,18.28,15.55,28.800112,23.29,-2.5078278,979.98114
448,28.8,77.1,0.0,2023-09,-22.55,,28.800112,23.29,-2.5078278,979.98114
449,28.8,77.2,0.0,2023-09,9.35,178.0,28.637074,23.42,-2.592941,979.7247
450,28.8,77.2,0.0,2023-09,9.29,38.0,28.637074,23.42,-2.592941,979.7247
451,28.8,77.2,0.0,2023-09,10.29,64.0,28.637074,23.42,-2.592941,979.7247
452,28.8,77.2,0.0,2023-09,-8.69,,28.637074,23.42,-2.592941,979.7247
453,28.5,76.9,0.0,2023-09,9.49,50.0,29.139263,22.83,-2.3055246,980.54004
454,28.5,76.9,0.0,2023-09,6.75,40.0,29.139263,22.83,-2.3055246,980.54004
455,28.5,76.9,0.0,2023-09,1.19,38.0,29.139263,22.83,-2.3055246,980.54004
456,28.5,76.9,0.0,2023-09,-10.03,,29.139263,22.83,-2.3055246,980.54004
457,28.5,76.9,0.0,2023-09,11.84,58.0,29.139263,22.83,-2.3055246,980.54004
458,28.5,77.0,0.0,2023-09,-8.43,,28.908651,23.01,-2.3966773,979.3429
459,28.5,77.0,0.0,2023-09,-18.14,,28.908651,23.01,-2.3966773,979.3429
460,28.5,77.0,0.0,2023-09,-13.72,,28.908651,23.01,-2.3966773,979.3429
461,28.5,77.2,0.0,2023-09,-37.75,,28.61795,23.34,-2.7215915,979.3365
462,28.5,77.2,0.0,2023-09,-22.39,,28.61795,23.34,-2.7215915,979.3365
463,28.5,77.3,0.0,2023-09,-8.45,,28.541487,23.54,-2.6355734,980.6858
464,28.4,77.1,0.0,2023-09,-67.4,,28.590166,22.97,-2.562945,976.2737
465,28.4,77.2,0.0,2023-09,-36.3,,28.580053,23.24,-2.6575155,978.4526
466,28.8,76.9,0.0,2023-10,-4.01,,25.611916,15.27,-1.3665059,986.6663
467,28.8,77.0,0.0,2023-10,-2.03,,25.613707,15.43,-1.3212881,986.98724
468,28.8,77.0,0.0,2023-10,9.99,85.0,25.613707,15.43,-1.3212881,986.98724
469,28.8,77.0,0.0,2023-10,-7.05,,25.613707,15.43,-1.3212881,986.98724
470,28.8,77.0,0.0,2023-10,0.0,45.0,25.613707,15.43,-1.3212881,986.98724
471,28.8,77.0,0.0,2023-10,-19.85,,25.613707,15.43,-1.3212881,986.98724
472,28.8,77.1,0.0,2023-10,-8.48,,25.514074,15.62,-1.4115373,986.8859
473,28.8,77.1,0.0,2023-10,-12.21,,25.514074,15.62,-1.4115373,986.8859
474,28.8,77.1,0.0,2023-10,10.42,40.0,25.514074,15.62,-1.4115373,986.8859
475,28.8,77.1,0.0,2023-10,18.2,15.55,25.514074,15.62,-1.4115373,986.8859
476,28.8,77.1,0.0,2023-10,0.0,45.0,25.514074,15.62,-1.4115373,986.8859
477,28.8,77.1,0.0,2023-10,-22.36,,25.514074,15.62,-1.4115373,986.8859
478,28.8,77.2,0.0,2023-10,5.63,178.0,25.334904,15.84,-1.5444628,986.6061
479,28.8,77.2,0.0,2023-10,5.56,38.0,25.334904,15.84,-1.5444628,986.6061
480,28.8,77.2,0.0,2023-10,9.23,64.0,25.334904,15.84,-1.5444628,986.6061
481,28.8,77.2,0.0,2023-10,-10.08,,25.334904,15.84,-1.5444628,986.6061
482,28.5,76.9,0.0,2023-10,6.85,50.0,25.855259,15.02,-1.4531775,987.51825
483,28.5,76.9,0.0,2023-10,6.68,40.0,25.855259,15.02,-1.4531775,987.51825
484,28.5,76.9,0.0,2023-10,1.44,38.0,25.855259,15.02,-1.4531775,987.51825
485,28.5,76.9,0.0,2023-10,-9.94,,25.855259,15.02,-1.4531775,987.51825
486,28.5,76.9,0.0,2023-10,9.27,58.0,25.855259,15.02,-1.4531775,987.51825
487,28.5,77.0,0.0,2023-10,-8.75,,25.711428,15.2,-1.41874,986.2735
488,28.5,77.0,0.0,2023-10,-18.8,,25.711428,15.2,-1.41874,986.2735
489,28.5,77.0,0.0,2023-10,-13.61,,25.711428,15.2,-1.41874,986.2735
490,28.5,77.2,0.0,2023-10,-37.56,,25.396044,15.68,-1.8843849,986.2301
491,28.5,77.2,0.0,2023-10,-22.11,,25.396044,15.68,-1.8843849,986.2301
492,28.5,77.3,0.0,2023-10,-8.61,,25.271101,16.04,-1.8063693,987.5926
493,28.4,77.1,0.0,2023-10,-67.5,,25.474932,15.1,-1.5716861,983.1306
494,28.4,77.2,0.0,2023-10,-38.1,,25.402058,15.57,-1.801461,985.3407
495,28.8,76.9,0.0,2023-11,-4.2,,20.924942,13.63,-0.40725157,990.77155
496,28.8,77.0,0.0,2023-11,-2.16,,20.942026,13.71,-0.40307868,991.1034
497,28.8,77.0,0.0,2023-11,10.01,85.0,20.942026,13.71,-0.40307868,991.1034
498,28.8,77.0,0.0,2023-11,-7.17,,20.942026,13.71,-0.40307868,991.1034
499,28.8,77.0,0.0,2023-11,0.0,45.0,20.942026,13.71,-0.40307868,991.1034
500,28.8,77.0,0.0,2023-11,-19.51,,20.942026,13.71,-0.40307868,991.1034
501,28.8,77.1,0.0,2023-11,-8.47,,20.888494,13.79,-0.4739747,991.0047
502,28.8,77.1,0.0,2023-11,-6.36,,20.888494,13.79,-0.4739747,991.0047
503,28.8,77.1,0.0,2023-11,10.13,40.0,20.888494,13.79,-0.4739747,991.0047
504,28.8,77.1,0.0,2023-11,17.67,15.55,20.888494,13.79,-0.4739747,991.0047
505,28.8,77.1,0.0,2023-11,0.0,45.0,20.888494,13.79,-0.4739747,991.0047
506,28.8,77.1,0.0,2023-11,-21.83,,20.888494,13.79,-0.4739747,991.0047
507,28.8,77.2,0.0,2023-11,5.76,178.0,20.783085,13.87,-0.52634025,990.7206
508,28.8,77.2,0.0,2023-11,5.55,38.0,20.783085,13.87,-0.52634025,990.7206
509,28.8,77.2,0.0,2023-11,9.28,64.0,20.783085,13.87,-0.52634025,990.7206
510,28.8,77.2,0.0,2023-11,-9.78,,20.783085,13.87,-0.52634025,990.7206
511,28.5,76.9,0.0,2023-11,6.79,50.0,21.125614,13.5,-0.4962359,991.6096
512,28.5,76.9,0.0,2023-11,6.6,40.0,21.125614,13.5,-0.4962359,991.6096
513,28.5,76.9,0.0,2023-11,1.74,38.0,21.125614,13.5,-0.4962359,991.6096
514,28.5,76.9,0.0,2023-11,-9.92,,21.125614,13.5,-0.4962359,991.6096
515,28.5,76.9,0.0,2023-11,9.49,58.0,21.125614,13.5,-0.4962359,991.6096
516,28.5,77.0,0.0,2023-11,-8.8,,21.047024,13.59,-0.48836666,990.3448
517,28.5,77.0,0.0,2023-11,-19.28,,21.047024,13.59,-0.48836666,990.3448
518,28.5,77.0,0.0,2023-11,-13.49,,21.047024,13.59,-0.48836666,990.3448
519,28.5,77.2,0.0,2023-11,-37.23,,20.904558,13.79,-0.6904052,990.30524
520,28.5,77.2,0.0,2023-11,-21.7,,20.904558,13.79,-0.6904052,990.30524
521,28.5,77.3,0.0,2023-11,-8.85,,20.840334,13.96,-0.6243415,991.69794
522,28.4,77.1,0.0,2023-11,-67.54,,20.906569,13.45,-0.48749945,987.12585
523,28.4,77.2,0.0,2023-11,-40.29,,20.923517,13.69,-0.60810226,989.38446
524,28.8,76.9,0.0,2023-12,-4.27,,15.494093,9.99,-0.30737072,992.3237
525,28.8,77.0,0.0,2023-12,-2.55,,15.511603,10.05,-0.3140293,992.6545
526,28.8,77.0,0.0,2023-12,10.39,85.0,15.511603,10.05,-0.3140293,992.6545
527,28.8,77.0,0.0,2023-12,-7.2,,15.511603,10.05,-0.3140293,992.6545
528,28.8,77.0,0.0,2023-12,0.0,45.0,15.511603,10.05,-0.3140293,992.6545
529,28.8,77.0,0.0,2023-12,-19.56,,15.511603,10.05,-0.3140293,992.6545
530,28.8,77.1,0.0,2023-12,-8.56,,15.491195,10.09,-0.35793152,992.5429
531,28.8,77.1,0.0,2023-12,-6.51,,15.491195,10.09,-0.35793152,992.5429
532,28.8,77.1,0.0,2023-12,9.95,40.0,15.491195,10.09,-0.35793152,992.5429
533,28.8,77.1,0.0,2023-12,0.0,45.0,15.491195,10.09,-0.35793152,992.5429
534,28.8,77.1,0.0,2023-12,-21.67,,15.491195,10.09,-0.35793152,992.5429
535,28.8,77.2,0.0,2023-12,5.93,178.0,15.476269,10.1,-0.3594317,992.23883
536,28.8,77.2,0.0,2023-12,5.69,38.0,15.476269,10.1,-0.3594317,992.23883
537,28.8,77.2,0.0,2023-12,-8.09,,15.476269,10.1,-0.3594317,992.23883
538,28.5,76.9,0.0,2023-12,6.9,50.0,15.815999,9.83,-0.3214003,993.1989
539,28.5,76.9,0.0,2023-12,6.7,40.0,15.815999,9.83,-0.3214003,993.1989
540,28.5,76.9,0.0,2023-12,2.16,38.0,15.815999,9.83,-0.3214003,993.1989
541,28.5,76.9,0.0,2023-12,-9.93,,15.815999,9.83,-0.3214003,993.1989
542,28.5,76.9,0.0,2023-12,9.56,58.0,15.815999,9.83,-0.3214003,993.1989
543,28.5,77.0,0.0,2023-12,-8.57,,15.766578,9.87,-0.30748495,991.89233
544,28.5,77.0,0.0,2023-12,-19.59,,15.766578,9.87,-0.30748495,991.89233
545,28.5,77.0,0.0,2023-12,-13.38,,15.766578,9.87,-0.30748495,991.89233
546,28.5,77.2,0.0,2023-12,-36.97,,15.740074,9.96,-0.40797707,991.8267
547,28.5,77.2,0.0,2023-12,-21.52,,15.740074,9.96,-0.40797707,991.8267
548,28.5,77.3,0.0,2023-12,-8.91,,15.698749,10.06,-0.34756064,993.23444
549,28.4,77.1,0.0,2023-12,-67.5,,15.788212,9.75,-0.26859948,988.6023
550,28.4,77.2,0.0,2023-12,-41.56,,15.82415,9.91,-0.34431043,990.8918
